Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
309799,Airplane,LIHUE ARPT,< 1000 ft,BE-90  KING,1,1,None,14/01/2011 0:00,No damage,BUSINESS,Hawaii,Landing Roll,None,TRUE,FALSE,"LESSER PACIFIC GOLDEN PLOVER. PILOT CALLED IN BIRDSTRIKE. USDA/WS FOUND CARCASS ON RWY 21 WITH 6000 FT REM. WS TECH UNABLE TO TALK AND GET MORE INFO FROM PILOT, HE HAD BEGUN TO TAXI OUT FOR T/O. THIS IS A REPORTED STRIKE.",Small,Overcast,Pacific golden-plover,Y,0,0,0,No
309801,Airplane,SACRAMENTO INTL,> 1000 ft,A-320,1,1,None,15/01/2011 0:00,No damage,JETBLUE AIRWAYS,California,Climb,Fog,FALSE,FALSE,DID NOT SEE THE BIRD. NIGHT/LOW VIS T/O DUE TO FOG. JUST AFTER BREAKING OUT OF FOG LAYER (APPROX 900-1000 FT) WHILE IN THE CLIMBING TURN. POP/THUD LT SIDE BEHIND CAPT SEAT. AFTER LANDING BLOOD SPLATTED FOUND NEXT TO STATIC PORT LT SIDE.,Medium,No Cloud,Unknown bird - medium,N,0,"1,200",0,No
309804,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-82,1,1,None,16/01/2011 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,Fog,FALSE,FALSE,NO DMG. MX INSPN PERFORMED.,Small,Overcast,Unknown bird - small,Y,0,250,0,No
309805,Airplane,SALT LAKE CITY INTL,< 1000 ft,CL-RJ700,11 to 100,71,None,16/01/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,Utah,Take-off run,Rain,FALSE,FALSE,OPS OFCR HAD JUST SPOTTED BIRD FLYING ACROSS THE RWY AS THE AMER RJ RAN INTO IT ON T/O. ARPT CASE NO. 01016.,Large,Overcast,Great blue heron,Y,0,0,0,No
309806,Airplane,LAURENCE G HANSCOM,< 1000 ft,CL-601/604,2 to 10,5,Other,16/01/2011 0:00,No damage,BUSINESS,Massachusetts,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN. GO AROUND, RETURNED FOR NORMAL LANDING. NO DMG. MASSPORT (ARPT AUTH) COLLECTED ONE OF THE DUCKS.",Medium,No Cloud,Mallard,N,0,90,0,No
309807,Airplane,BURLINGTON INTL,< 1000 ft,EMB-145,1,1,None,17/01/2011 0:00,No damage,CHAUTAUQUA AIRLINES,Vermont,Landing Roll,None,TRUE,FALSE,SNARGE ON RT WING.,Small,No Cloud,Snow bunting,Y,200,0,0,No
309808,Airplane,MOBILE REGIONAL,< 1000 ft,EMB-145,2 to 10,2,None,17/01/2011 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Alabama,Approach,None,FALSE,FALSE,NO DMG. POSSIBLY SPARROWS.,Small,No Cloud,Unknown bird - small,N,0,50,0,No
309809,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-300,1,1,None,4/01/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,None,TRUE,TRUE,ID BY SMITHSONIAN. NO VISIBLE DMG. PILOT BELIEVED SINGLE BIRD MOVED DOWN A/C FROM FUSELAGE TO ENG #1. LOCATION REPTD AS 3-4 MILE FINAL.,Medium,Some Cloud,Northern pintail,Y,0,"1,200",0,Yes
309810,Airplane,SAN DIEGO INTL,> 1000 ft,B-737-300,1,1,None,4/01/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,None,TRUE,FALSE,FIVE MILE FINAL.,Small,No Cloud,Unknown bird - small,Y,0,"1,800",0,Yes
309817,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-700,1,1,None,5/01/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Climb,None,FALSE,FALSE,NO DMG.,Medium,No Cloud,Unknown bird - medium,Y,0,"1,300",0,Yes
309818,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-500,1,1,None,5/01/2011 0:00,Caused damage,SOUTHWEST AIRLINES,California,Climb,None,FALSE,FALSE,BIRD HIT RADOME.  L/E AND SPLATTERED THE HORIZONTAL STAB. RADOME REPLACED AND THERE WAS A DENT ON L/E OF WING ALTHOUGH THE DMG WAS MINOR. LOCATION REPTD AS C/O 2 MILES FROM DEPT END OF 34R.,Medium,No Cloud,Unknown bird - medium,Y,0,"1,800",0,Yes
309822,Airplane,UNALASKA ARPT,< 1000 ft,SAAB-340,1,1,None,6/01/2011 0:00,No damage,PENAIR,Alaska,Approach,Snow,FALSE,FALSE,BALD EAGLE SURVIVED AND WAS SHIPPED TO ANCHORAGE FOR CARE.,Large,Overcast,Bald eagle,Y,0,10,0,No
309824,Airplane,KINGMAN,< 1000 ft,BE-1900,1,1,None,2/01/2011 0:00,No damage,GREAT LAKES AIRLINES,Arizona,Approach,None,FALSE,FALSE,NOTED ON POSTFLT. NO DMG TO LANDING GEAR DOOR.,Medium,No Cloud,Unknown bird - medium,N,0,200,0,No
309827,Airplane,SAN ANTONIO INTL,< 1000 ft,B-737-700,1,1,None,2/01/2011 0:00,No damage,SOUTHWEST AIRLINES,Texas,Climb,None,FALSE,FALSE,NO DMG. NO SMELLS. BIRD REPTD AS POSSIBLY A CROW.,Medium,No Cloud,Unknown bird - medium,Y,0,500,0,Yes
309828,Airplane,LUBBOCK INTL,< 1000 ft,B-737-300,1,1,None,2/01/2011 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,BIRD STRUCK FUSELAGE ON SHORT FINAL. NO DMG.,Small,No Cloud,Unknown bird - small,N,0,20,0,Yes
309829,Airplane,PHILADELPHIA INTL,< 1000 ft,A-321,2 to 10,7,None,2/01/2011 0:00,No damage,US AIRWAYS,Pennsylvania,Climb,Fog,FALSE,FALSE,"DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,Some Cloud,Ring-billed gull,N,0,"1,000",0,No
309830,Airplane,LOS ANGELES INTL,< 1000 ft,MD-82,1,1,None,3/01/2011 0:00,No damage,AMERICAN AIRLINES,California,Climb,None,FALSE,FALSE,PILOT REPTD STRIKING A LARGE UNKNOWN BIRD ON T/O TO THE TOWER. FAA REPTD BIRDSTRIKE TO AIRFLD OPS WHO INSPECTED RWY WITH NO BIRD REMAINS FOUND.,Large,Overcast,Unknown bird - large,N,0,100,0,No
309831,Airplane,CYRIL E KING ARPT,< 1000 ft,C-402,1,1,None,3/01/2011 0:00,Caused damage,CAPE AIR,Virgin Islands,Approach,None,FALSE,FALSE,,Small,No Cloud,Unknown bird - small,N,0,200,0,No
309833,Airplane,MIAMI INTL,> 1000 ft,ATR-72,1,1,None,4/01/2011 0:00,Caused damage,AMERICAN EAGLE AIRLINES,Florida,Approach,None,FALSE,FALSE,BIG DENT. NO BIRD REMAINS COLLECTED.,Large,No Cloud,Unknown bird - large,N,"250,000","1,800",0,No
309834,Airplane,NASHVILLE INTL,< 1000 ft,HAWKER 4000,1,1,None,4/01/2011 0:00,No damage,BUSINESS,Tennessee,Approach,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird - medium,Y,0,250,0,No
309836,Airplane,ROBT L BRADSHAW INTL,< 1000 ft,B-737-800,2 to 10,9,None,13/01/2011 0:00,No damage,AMERICAN AIRLINES,N/A,Landing Roll,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird - medium,N,0,0,0,Yes
309838,Airplane,UNALASKA ARPT,< 1000 ft,SAAB-340,1,1,None,13/01/2011 0:00,Caused damage,PENAIR,Alaska,Approach,None,TRUE,FALSE,GULL HIT AGA VANE ON RT SIDE OF A/C. VANE IS MISSING.,Medium,Some Cloud,Glaucous-winged gull,Y,0,100,0,No
309839,Airplane,DENVER INTL AIRPORT,< 1000 ft,B-737-700,1,1,None,13/01/2011 0:00,No damage,SOUTHWEST AIRLINES,Colorado,Climb,None,FALSE,FALSE,"NO DMG. STRUCK CAPT WINDOW AND MADE A 18 INCH x 10 INCH SPLATTER. AFTER CK FOR SECONDARY INDICATION WERE NEGATIVE AND CONTACTING WN MX, WE CONT TO ORIG DEST, KMDW.",Small,No Cloud,Unknown bird - small,N,0,500,0,Yes
309841,Airplane,KISSIMMEE GATEWAY ARPT,< 1000 ft,PA-28,1,1,Other,28/01/2011 0:00,Caused damage,BUSINESS,Florida,Climb,None,TRUE,FALSE,"STRUCK OAT PROBE (PROBE MOUNTED IN WINDSHIELD), MINOR DMG.",Large,No Cloud,Turkey vulture,Y,0,100,0,No
309845,Airplane,HILO INTL ARPT,< 1000 ft,PA-28,2 to 10,7,None,28/01/2011 0:00,No damage,BUSINESS,Hawaii,Approach,None,TRUE,FALSE,ARPT SEC RECVRD 2 NUTMEG MANNIKINS. RWY 8 THRESHOLD.,Small,Some Cloud,Nutmeg mannikin,Y,0,10,0,No
309846,,,,BELL-430,,1,,,Caused damage,,Louisiana,,None,TRUE,FALSE,BIRD STRUCK FUSELAGE JUST ABOVE L/H WINDSHIELD AND SLID AFT INTO OPEN CABIN VENT DOOR. FERRY PERMIT ISSUED TO RELOCATE THE A/C FOR REPAIR. LOCATION REPTD AS 3 MILES SOUTH.,,Some Cloud,Unknown bird - medium,,0,,0,
309847,Airplane,PALM BEACH INTL,< 1000 ft,B-737-700,1,1,None,29/01/2011 0:00,No damage,SOUTHWEST AIRLINES,Florida,Take-off run,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird - medium,Y,0,0,0,Yes
309848,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-700,1,1,None,29/01/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Climb,None,FALSE,FALSE,INTAKE.,Small,Overcast,Rock pigeon,Y,0,500,0,Yes
309850,Airplane,WAUKEGAN REGIONAL ARPT,< 1000 ft,GULFAERO IV,2 to 10,5,None,31/01/2011 0:00,No damage,BUSINESS,Illinois,Take-off run,None,FALSE,FALSE,"DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,Overcast,European starling,N,0,0,0,No
309851,Airplane,NEW ORLEANS INTL,< 1000 ft,B-737-700,1,1,None,31/01/2011 0:00,No damage,CONTINENTAL AIRLINES,Louisiana,Landing Roll,Fog,TRUE,FALSE,COA OPS INFORMED 03 OF BIRDSTRIKE THAT OCCURRED ON RWY 10/28. 03 INFORMED 02 AT 914 OF BIRDSTRIKE. 02 PERFORMED A SWEEP ON RWY 10/28 AND FOUND A KILLDEER. COA OPS INFORMED 02 THAT THE STRIKE OCCURRED AT 0837 DURING LANDING PHASE. COA OPS STATED THAT A/C D,Small,Overcast,Killdeer,Y,0,0,0,Yes
309853,Airplane,FORT WAYNE INTL,< 1000 ft,CL-RJ100/200,2 to 10,7,None,31/01/2011 0:00,No damage,PINNACLE,Indiana,Climb,None,FALSE,FALSE,"DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,Some Cloud,Unknown bird - small,N,0,100,0,No
309854,Airplane,YELLOWSTONE REGIONAL,< 1000 ft,EMB-120,2 to 10,8,Other,31/01/2011 0:00,No damage,SKYWEST AIRLINES,Wyoming,Landing Roll,None,FALSE,FALSE,,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
309855,Airplane,NORTHWEST FLORIDA BEACHES INTL,> 1000 ft,B-737-700,1,1,None,31/01/2011 0:00,No damage,SOUTHWEST AIRLINES,Florida,Approach,None,FALSE,FALSE,BIRDSTRIKE ON NOSE OF A/C ABOVE RADAR DOME. NO ADVERSE CONDITIONS OR ODOR. LOCATION REPTD AS 5 MILES FINAL APRCH FROM RWY 16.,Medium,Overcast,Unknown bird - medium,N,0,"2,500",0,Yes
