Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
301340,Airplane,HOUSTON-HOBBY,> 1000 ft,B-737-700,1,1,None,22/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,LOCATION REPTD AS 5 NM NW OF HOU. BLACKBIRD LIKE A STARLING. NO A/C DMG FOUND.,Small,No Cloud,Blackbirds,0,"1,900",0,Yes
301341,Airplane,MINETA SAN JOSE INTL,> 1000 ft,B-737-300,1,1,None,22/04/2010 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,None,FALSE,FALSE,OVER KLIDE.,Small,No Cloud,Unknown bird - small,0,"4,900",0,Yes
301237,Airplane,ST LOUIS DOWNTOWN,< 1000 ft,DA-2000,1,1,None,22/04/2010 0:00,No damage,BUSINESS,Illinois,Approach,None,TRUE,FALSE,A/C STRUCK BIRD JUST PRIOR TO T/D. NO DMG TO A/C.,Small,Overcast,Killdeer,0,10,0,No
301238,Airplane,WICHITA MID-CONTINENT ARPT,< 1000 ft,LEARJET-35,1,1,None,22/04/2010 0:00,No damage,BUSINESS,Kansas,Approach,None,FALSE,FALSE,NO DMG TO A/C. HEIGHT REPTD AS 700-800 FT (TOOK AVG). SPEED REPTD AS 135-140 KIAS.,Small,No Cloud,Unknown bird - small,0,750,0,No
301549,Airplane,LOS ANGELES INTL,> 1000 ft,A-320,1,1,None,23/04/2010 0:00,No damage,DELTA AIR LINES,California,Approach,None,FALSE,FALSE,7 MILE FINAL. NO DMG REPTD AND DID NOT COLLECT A BIRD SAMPLE FOR ID.,Medium,Some Cloud,Unknown bird - medium,0,"2,600",0,No
301904,Airplane,HARRISBURG INTL,> 1000 ft,A-319,1,1,None,23/04/2010 0:00,No damage,US AIRWAYS,Pennsylvania,Climb,None,FALSE,FALSE,,Small,No Cloud,Unknown bird - small,0,"3,000",0,No
301552,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,CL-RJ700,1,1,None,23/04/2010 0:00,No damage,MESA AIRLINES,North Carolina,Approach,None,FALSE,FALSE,"NO DMG. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Small,No Cloud,Unknown bird - small,0,"1,800",0,No
301550,Airplane,INDIANAPOLIS INTL,> 1000 ft,A-319,1,1,None,23/04/2010 0:00,No damage,FRONTIER AIRLINES,Indiana,Approach,None,FALSE,FALSE,LEFT BASSE TO FINAL. POSTFLT FOUND SOME REMAINS/MARKS ON RADOME AND ANOTHER IMPACT (MX THINK FROM SAME BIRD) ON INBOARD SLAT A/C LT WING ABOUT 2 FT OUT.,Medium,No Cloud,Unknown bird - medium,0,"3,000",0,No
301903,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,A-319,1,1,None,23/04/2010 0:00,No damage,US AIRWAYS,North Carolina,Climb,None,FALSE,FALSE,BOTH PILOTS REPTD FEELING A BIRDSTRIKE ON CLIMBOUT FROM KCLT. WEATHER CLEAR BUT DARK. FLT CONT TO SYRACUSE. UPON LANDING A WALKAROUND DONE AND BIRD REMAINS FOUND ON LT LOWER NOSE CONE. NO DMG NOTICED BY CREW AND MX INFORMED.,Medium,No Cloud,Unknown bird - medium,0,"5,000",0,No
300284,Airplane,LOS ANGELES INTL,> 1000 ft,B-737-700,1,1,None,23/04/2010 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,None,FALSE,FALSE,HEARD A THUMP ON FINAL. NOTICED BIRDSTRIKE ON RADOME ON FLT INSPN. SWA DID NOT COLLECT SAMPLE FOR ID. LOCATION REPTD AS 10NM.,Medium,Some Cloud,Unknown bird - medium,0,"5,000",0,Yes
301553,Airplane,LA CROSSE MUNICIPAL AIRPORT,< 1000 ft,CL-RJ100/200,1,1,None,23/04/2010 0:00,No damage,SKYWEST AIRLINES,Wisconsin,Approach,None,TRUE,FALSE,LANDING FLARE SAW SEVERAL BIRDS IN T/D ZONE OF RWY 18. ALL BIRDS TOOK OFF. ONE STRUCK LT PORTION OF NOSE SLIDING UP INTO THE WINDSHIELD WIPER AND ACROSS CA SIDE WINDSHIELD. REST OF LANDING UNEVENTFUL. NO DMG.,Small,Some Cloud,Sparrows,"1,027",5,0,No
300323,Airplane,ORLANDO INTL,< 1000 ft,B-737-700,1,1,None,23/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Florida,Approach,None,TRUE,FALSE,BIRD HIT NOSE WHEEL DOOR ON LANDING.,Small,No Cloud,Cattle egret,0,10,0,Yes
301345,Airplane,BURKE LAKEFRONT,< 1000 ft,RKWL SHRIKE,1,1,None,23/04/2010 0:00,No damage,CENTRAL AIRWAYS,Ohio,Take-off run,None,TRUE,FALSE,PILOT REPTD STRIKE TO ATCT. NO DMG REPTD. PILOT CONT WITH FLT. OPS AGNT INSPECTED RWY AND LOCATED STRIKE REMAINS.,Medium,Overcast,Ring-billed gull,0,0,0,No
300281,Airplane,HOUSTON-HOBBY,> 1000 ft,B-737-700,1,1,None,23/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,None,TRUE,FALSE,NO DMG JUST REMNANTS OF THE BIRD ON THE NOSE AND LT SIDE OF FRWD FUSELAGE.,Medium,Some Cloud,Unknown bird - medium,0,"9,000",0,Yes
300823,Airplane,KANSAS CITY INTL,< 1000 ft,B-737-300,1,1,None,23/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Missouri,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 4264. WHOLE FEATHER. NO DMG. CALLED DISPATCH AND MX. FEATHERS RECOVERED FROM FUSELAGE JUST BEHIND RADOME AND FROM FAN BLADES OF #2 ENG. PILOT THOUGHT HE HIT SOMETHING LIKE A SPARROW OR A DOVE.",Small,No Cloud,Mourning dove,0,5,0,Yes
301910,Airplane,PORT COLUMBUS INTL,< 1000 ft,B-737-300,1,1,None,24/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Ohio,Climb,None,FALSE,FALSE,IMPACTED ONE CROW SIZED BIRD NEAR CAPT EYEBROW (#4) WINDOW.,Small,No Cloud,Unknown bird - small,0,400,0,Yes
301911,Airplane,IXTAPA-ZIHUATENEJO,< 1000 ft,A-319,1,1,None,24/04/2010 0:00,No damage,US AIRWAYS,N/A,Climb,None,FALSE,FALSE,,Small,No Cloud,Sparrows,0,50,0,No
301909,Airplane,BALTIMORE WASH INTL,> 1000 ft,B-737-300,1,1,Precautionary Landing,24/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Maryland,Climb,None,FALSE,FALSE,RETURN TO KBWI. LOCATION OF STRIKE REPTD AS 5-10 MILES SE OF BWI. ABOVE RT WINDSHIELD. NO SNARGE COLLECTED.,Medium,Some Cloud,Unknown bird - medium,0,"3,150",0,Yes
301906,Airplane,OGDEN-HINCKLEY ARPT,> 1000 ft,PA-28,1,1,Precautionary Landing,24/04/2010 0:00,Caused damage,PRIVATELY OWNED,Utah,Descent,None,FALSE,FALSE,"STRUCK TOP OF FUSELAGE. DMG TO SKIN, SUPPORTING BULKHEAD, ELT ANTENNA. PHOTO. LOCATION REPTD AS 8NM NNE OF ARPT.",Large,No Cloud,Unknown bird - large,"6,468","4,500",0,No
301534,Airplane,ORLANDO INTL,> 1000 ft,B-737-700,1,1,None,24/04/2010 0:00,Caused damage,SOUTHWEST AIRLINES,Florida,Climb,None,FALSE,FALSE,"ON INITIAL CLIMB, IN A RT TURN, NOTICED A BIRD TUCK AND START DIVING. DENT IN #2 LEADING EDGE SLAT AND SMALL CRACK IN THE DENT.",Medium,No Cloud,Unknown bird - medium,0,"1,100",0,Yes
300977,Airplane,JOHN F KENNEDY INTL,< 1000 ft,A-320,1,1,None,25/04/2010 0:00,No damage,JETBLUE AIRWAYS,New York,Approach,None,FALSE,FALSE,APRT HAS NO RECORD OF THIS STRIKE.,Medium,No Cloud,Unknown bird - medium,0,100,0,No
